"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"legitimacy-sudden-drop"
"06/30/2026 13:10:50:461 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"3","true","4","70","7","30","65","0","0","64","0.9"
"4","true","4","70","7","30","53","0","0","64","0.9"
"1","true","4","70","7","30","66","0","0","64","0.9"
"2","true","4","70","7","30","65","0","0","64","0.9"
"3","true","4","70","7","30","66","0","0","64","0.9"
"4","true","4","70","7","30","54","0","0","64","0.9"
"1","true","4","70","7","30","67","0","0","64","0.9"
"2","true","4","70","7","30","66","0","0","64","0.9"
"3","true","4","70","7","30","67","0","0","64","0.9"
"1","true","4","70","7","30","68","0","0","64","0.9"
"3","true","4","70","7","30","68","0","0","64","0.9"
"2","true","4","70","7","30","67","0","0","64","0.9"
"4","true","4","70","7","30","55","0","0","64","0.9"
"3","true","4","70","7","30","69","0","0","64","0.9"
"1","true","4","70","7","30","69","0","0","64","0.9"
"2","true","4","70","7","30","68","0","0","64","0.9"
"4","true","4","70","7","30","56","0","0","64","0.9"
"1","true","4","70","7","30","70","0","0","64","0.9"
"3","true","4","70","7","30","70","0","0","64","0.9"
"2","true","4","70","7","30","69","0","0","64","0.9"
"4","true","4","70","7","30","57","0","0","64","0.9"
"3","true","4","70","7","30","71","0","0","64","0.9"
"1","true","4","70","7","30","71","0","0","64","0.9"
"2","true","4","70","7","30","70","0","0","64","0.9"
"4","true","4","70","7","30","58","0","0","64","0.9"
"3","true","4","70","7","30","72","0","0","64","0.9"
"1","true","4","70","7","30","72","0","0","64","0.9"
"2","true","4","70","7","30","71","0","0","64","0.9"
"4","true","4","70","7","30","59","0","0","64","0.9"
"3","true","4","70","7","30","73","0","0","64","0.9"
"1","true","4","70","7","30","73","0","0","64","0.9"
"2","true","4","70","7","30","72","0","0","64","0.9"
"3","true","4","70","7","30","74","0","0","64","0.9"
"4","true","4","70","7","30","60","0","0","64","0.9"
"1","true","4","70","7","30","74","0","0","64","0.9"
"2","true","4","70","7","30","73","0","0","64","0.9"
"3","true","4","70","7","30","75","0","0","64","0.9"
"1","true","4","70","7","30","75","0","0","64","0.9"
"4","true","4","70","7","30","61","0","0","64","0.9"
