"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"tocqueville-legitimacy-erosion"
"06/30/2026 13:12:25:508 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"2","true","4","70","7","30","43","166","572","64","0.68224"
"1","true","4","70","7","30","45","34","644","64","0.67568"
"4","true","4","70","7","30","46","0","564","64","0.6724"
"2","true","4","70","7","30","44","127","607","64","0.67896"
"3","true","4","70","7","30","40","14","507","64","0.69208"
"1","true","4","70","7","30","46","38","636","64","0.6724"
"4","true","4","70","7","30","47","0","526","64","0.6691199999999999"
"2","true","4","70","7","30","45","75","638","64","0.67568"
"1","true","4","70","7","30","47","30","621","64","0.6691199999999999"
"3","true","4","70","7","30","41","0","487","64","0.6888"
"4","true","4","70","7","30","48","2","503","64","0.66584"
"2","true","4","70","7","30","46","24","665","64","0.6724"
"1","true","4","70","7","30","48","4","607","64","0.66584"
"2","true","4","70","7","30","47","0","668","64","0.6691199999999999"
"4","true","4","70","7","30","49","1","472","64","0.6625599999999999"
"3","true","4","70","7","30","42","9","469","64","0.6855199999999999"
"1","true","4","70","7","30","49","0","564","64","0.6625599999999999"
"2","true","4","70","7","30","48","2","638","64","0.66584"
"4","true","4","70","7","30","50","3","437","64","0.65928"
"1","true","4","70","7","30","50","0","535","64","0.65928"
"2","true","4","70","7","30","49","5","619","64","0.6625599999999999"
"3","true","4","70","7","30","43","0","452","64","0.68224"
"1","true","4","70","7","30","51","2","504","64","0.6559999999999999"
"2","true","4","70","7","30","50","10","590","64","0.65928"
"4","true","4","70","7","30","51","5","432","64","0.6559999999999999"
"3","true","4","70","7","30","44","4","423","64","0.67896"
"1","true","4","70","7","30","52","2","471","64","0.65272"
"2","true","4","70","7","30","51","0","567","64","0.6559999999999999"
"4","true","4","70","7","30","52","1","397","64","0.65272"
"2","true","4","70","7","30","52","2","533","64","0.65272"
"1","true","4","70","7","30","53","1","439","64","0.64944"
"3","true","4","70","7","30","45","42","423","64","0.67568"
"4","true","4","70","7","30","53","0","377","64","0.64944"
"2","true","4","70","7","30","53","2","510","64","0.64944"
"1","true","4","70","7","30","54","7","412","64","0.64616"
"3","true","4","70","7","30","46","127","439","64","0.6724"
"4","true","4","70","7","30","54","6","351","64","0.64616"
"2","true","4","70","7","30","54","1","484","64","0.64616"
"1","true","4","70","7","30","55","3","403","64","0.64288"
"3","true","4","70","7","30","47","255","463","64","0.6691199999999999"
"1","true","4","70","7","30","56","1","374","64","0.6396"
"4","true","4","70","7","30","55","1","316","64","0.64288"
"2","true","4","70","7","30","55","0","455","64","0.64288"
"3","true","4","70","7","30","48","264","494","64","0.66584"
"2","true","4","70","7","30","56","1","421","64","0.6396"
"1","true","4","70","7","30","57","3","357","64","0.63632"
"4","true","4","70","7","30","56","2","281","64","0.6396"
"2","true","4","70","7","30","57","2","399","64","0.63632"
"3","true","4","70","7","30","49","234","527","64","0.6625599999999999"
"1","true","4","70","7","30","58","2","340","64","0.6330399999999999"
"4","true","4","70","7","30","57","2","269","64","0.63632"
"1","true","4","70","7","30","59","48","323","64","0.62976"
"2","true","4","70","7","30","58","3","369","64","0.6330399999999999"
"3","true","4","70","7","30","50","203","563","64","0.65928"
"4","true","4","70","7","30","58","16","248","64","0.6330399999999999"
"1","true","4","70","7","30","60","336","356","64","0.6264799999999999"
"2","true","4","70","7","30","59","65","357","64","0.62976"
"3","true","4","70","7","30","51","171","579","64","0.6559999999999999"
"4","true","4","70","7","30","59","206","263","64","0.62976"
"2","true","4","70","7","30","60","233","359","64","0.6264799999999999"
"3","true","4","70","7","30","52","156","603","64","0.65272"
"1","true","4","70","7","30","61","436","387","64","0.6232"
"4","true","4","70","7","30","60","467","302","64","0.6264799999999999"
"3","true","4","70","7","30","53","134","636","64","0.64944"
"2","true","4","70","7","30","61","395","385","64","0.6232"
"1","true","4","70","7","30","62","409","414","64","0.61992"
"4","true","4","70","7","30","61","451","336","64","0.6232"
"3","true","4","70","7","30","54","101","655","64","0.64616"
"2","true","4","70","7","30","62","377","410","64","0.61992"
"1","true","4","70","7","30","63","384","440","64","0.61664"
"3","true","4","70","7","30","55","67","666","64","0.64288"
"4","true","4","70","7","30","62","419","369","64","0.61992"
"1","true","4","70","7","30","64","362","466","64","0.6133599999999999"
"2","true","4","70","7","30","63","356","435","64","0.61664"
"3","true","4","70","7","30","56","22","671","64","0.6396"
"4","true","4","70","7","30","63","388","400","64","0.61664"
"2","true","4","70","7","30","64","333","454","64","0.6133599999999999"
"1","true","4","70","7","30","65","337","498","64","0.61008"
"3","true","4","70","7","30","57","14","649","64","0.63632"
"4","true","4","70","7","30","64","359","437","64","0.6133599999999999"
"1","true","4","70","7","30","66","309","519","64","0.6068"
"2","true","4","70","7","30","65","319","477","64","0.61008"
"3","true","4","70","7","30","58","1","626","64","0.6330399999999999"
"4","true","4","70","7","30","65","326","473","64","0.61008"
"1","true","4","70","7","30","67","291","539","64","0.60352"
"3","true","4","70","7","30","59","8","591","64","0.62976"
"2","true","4","70","7","30","66","294","498","64","0.6068"
"4","true","4","70","7","30","66","293","508","64","0.6068"
"1","true","4","70","7","30","68","272","566","64","0.60024"
"2","true","4","70","7","30","67","275","527","64","0.60352"
"3","true","4","70","7","30","60","15","567","64","0.6264799999999999"
"4","true","4","70","7","30","67","258","544","64","0.60352"
"1","true","4","70","7","30","69","251","577","64","0.5969599999999999"
"2","true","4","70","7","30","68","248","551","64","0.60024"
"3","true","4","70","7","30","61","10","546","64","0.6232"
"4","true","4","70","7","30","68","226","568","64","0.60024"
"1","true","4","70","7","30","70","243","596","64","0.59368"
"2","true","4","70","7","30","69","229","572","64","0.5969599999999999"
"3","true","4","70","7","30","62","4","525","64","0.61992"
"4","true","4","70","7","30","69","200","599","64","0.5969599999999999"
"1","true","4","70","7","30","71","225","631","64","0.5903999999999999"
"2","true","4","70","7","30","70","207","589","64","0.59368"
"1","true","4","70","7","30","72","190","653","64","0.58712"
"4","true","4","70","7","30","70","171","630","64","0.59368"
"3","true","4","70","7","30","63","1","504","64","0.61664"
"2","true","4","70","7","30","71","195","612","64","0.5903999999999999"
"4","true","4","70","7","30","71","142","656","64","0.5903999999999999"
"1","true","4","70","7","30","73","173","672","64","0.5838399999999999"
"2","true","4","70","7","30","72","168","635","64","0.58712"
"3","true","4","70","7","30","64","1","481","64","0.6133599999999999"
"1","true","4","70","7","30","74","155","695","64","0.58056"
"4","true","4","70","7","30","72","111","679","64","0.58712"
"1","true","4","70","7","30","75","129","718","64","0.57728"
"2","true","4","70","7","30","73","146","654","64","0.5838399999999999"
"4","true","4","70","7","30","73","81","699","64","0.5838399999999999"
"3","true","4","70","7","30","65","1","449","64","0.61008"
"1","true","4","70","7","30","76","96","737","64","0.574"
"4","true","4","70","7","30","74","49","713","64","0.58056"
"2","true","4","70","7","30","74","117","685","64","0.58056"
"4","true","4","70","7","30","75","17","710","64","0.57728"
"1","true","4","70","7","30","77","53","764","64","0.57072"
"2","true","4","70","7","30","75","89","710","64","0.57728"
"3","true","4","70","7","30","66","3","419","64","0.6068"
"4","true","4","70","7","30","76","4","691","64","0.574"
"1","true","4","70","7","30","78","23","765","64","0.5674399999999999"
"2","true","4","70","7","30","76","53","725","64","0.574"
"1","true","4","70","7","30","79","3","739","64","0.56416"
"4","true","4","70","7","30","77","3","681","64","0.57072"
"3","true","4","70","7","30","67","18","398","64","0.60352"
"2","true","4","70","7","30","77","25","743","64","0.57072"
"1","true","4","70","7","30","80","2","709","64","0.5608799999999999"
"4","true","4","70","7","30","78","1","646","64","0.5674399999999999"
"2","true","4","70","7","30","78","20","729","64","0.5674399999999999"
"1","true","4","70","7","30","81","1","674","64","0.5576"
"4","true","4","70","7","30","79","4","612","64","0.56416"
"3","true","4","70","7","30","68","104","392","64","0.60024"
"2","true","4","70","7","30","79","2","701","64","0.56416"
"1","true","4","70","7","30","82","3","638","64","0.5543199999999999"
"2","true","4","70","7","30","80","4","665","64","0.5608799999999999"
"4","true","4","70","7","30","80","13","579","64","0.5608799999999999"
"3","true","4","70","7","30","69","346","424","64","0.5969599999999999"
"1","true","4","70","7","30","83","11","601","64","0.55104"
"2","true","4","70","7","30","81","4","639","64","0.5576"
"4","true","4","70","7","30","81","28","562","64","0.5576"
"2","true","4","70","7","30","82","2","593","64","0.5543199999999999"
"1","true","4","70","7","30","84","23","581","64","0.54776"
"3","true","4","70","7","30","70","349","456","64","0.59368"
"4","true","4","70","7","30","82","76","560","64","0.5543199999999999"
"2","true","4","70","7","30","83","1","561","64","0.55104"
"1","true","4","70","7","30","85","63","562","64","0.54448"
"4","true","4","70","7","30","83","166","560","64","0.55104"
"2","true","4","70","7","30","84","0","529","64","0.54776"
"3","true","4","70","7","30","71","321","473","64","0.5903999999999999"
"1","true","4","70","7","30","86","139","560","64","0.5411999999999999"
"4","true","4","70","7","30","84","224","569","64","0.54776"
"2","true","4","70","7","30","85","1","495","64","0.54448"
"1","true","4","70","7","30","87","260","576","64","0.53792"
"3","true","4","70","7","30","72","305","489","64","0.58712"
"4","true","4","70","7","30","85","231","581","64","0.54448"
"1","true","4","70","7","30","88","267","584","64","0.53464"
"2","true","4","70","7","30","86","3","473","64","0.5411999999999999"
"3","true","4","70","7","30","73","291","508","64","0.5838399999999999"
