"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Ethnocentrism.nlogox"
"ethno-cost-gain-grid"
"06/24/2026 20:04:42:839 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","[step]","count turtles","cc-percent","cd-percent","dc-percent","dd-percent","last100consist-ethno-percent","last100coop-percent"
"30","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","1629","0.19842461299086495","0.704377898389969","0.0283533194352432","0.06884416918392278","0.8761342384924726","0.7941789519256949"
"31","0.03","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","556","0.0949198114100695","0.2006513547800731","0.13364133830685626","0.5707874955030011","0.33726796863503544","0.2843343353864912"
"32","0.03","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","741","0.08277874131139167","0.141531883999516","0.18052138372390059","0.5951679909651918","0.26820462782269305","0.22674937273487594"
"33","0.03","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","586","0.08171308868026998","0.19044146171153697","0.2015051594382807","0.5263402901699122","0.3114072477521674","0.25916424056232007"
"34","0.03","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","557","0.06056909889889555","0.17467292686594596","0.16244214606760346","0.602315828167555","0.29188250904265955","0.24822327644182707"
"35","0.03","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","612","0.11724029545811723","0.25902876001885905","0.22583686940122583","0.3978940751217979","0.4232554243109659","0.35901817877188574"
"36","0.03","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","585","0.02631201862797779","0.03170338527673294","0.14390112842557767","0.7980834676697117","0.12087349990163289","0.04625221325988589"
"37","0.03","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","542","0.006661080854629242","0.041286133221617095","0.11912442396313364","0.83292836196062","0.10975263680650807","0.04017878257579341"
"38","0.03","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","429","0.013759904575274772","0.021960466899548437","0.1794964641731277","0.7847831643520491","0.13058170694111787","0.04997747160236193"
"39","0.03","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","512","0.022543399601577425","0.04281009879253567","0.18866121884782697","0.7459852827580599","0.12610703795879016","0.060144391381359165"
"40","0.03","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","512","0.020077157688501077","0.039588761639297906","0.14571088084994646","0.7946231998222545","0.10887467795362532","0.050170224512329775"
"41","0.06","0.12","1","0.5","0.005","0","0.5","0.1","2000","2115","0.15951088758181078","0.8002727815190521","0.008742268822398395","0.031474062076738744","0.9330380602056902","0.8501642865804716"
"42","0.06","0.12","1","0.5","0.005","0","0.5","0.1","2000","2118","0.24130266900227915","0.7112646211222242","0.01799269179333597","0.02944001808216082","0.9355088577782097","0.8813189200313266"
"43","0.06","0.12","1","0.5","0.005","0","0.5","0.1","2000","2089","0.26600767398405295","0.6906205276696098","0.015205328997104426","0.02816646934923284","0.9141202122247256","0.8416469220146813"
"44","0.06","0.12","1","0.5","0.005","0","0.5","0.1","2000","2135","0.22401336178548276","0.7253263559326043","0.010485027135212373","0.04017525514670048","0.9388143167065698","0.8804866735236581"
"45","0.06","0.12","1","0.5","0.005","0","0.5","0.1","2000","2090","0.15285624607658505","0.8001673990374554","0.008869295592459433","0.038107059293499966","0.9361228098750495","0.8538026153523978"
"46","0.06","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","2039","0.16283048745213966","0.7674662587815412","0.018026365459189425","0.05167688830712965","0.9124184916338582","0.8194466658464566"
"47","0.06","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","2077","0.18748303671823502","0.7558014423636151","0.010778953898646812","0.045936567019502925","0.9155179483468707","0.8244767452377937"
"48","0.06","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","2084","0.11351221237546914","0.8268013990685976","0.01411840993495903","0.045567978620974246","0.9302504329251541","0.8110254692723462"
"49","0.06","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","2068","0.1716327039596262","0.7625642455095384","0.012743961777895144","0.053059088752940256","0.91210106179233","0.8152833744465043"
"50","0.06","0.12","1","0.5","0.005","0.01","0.5","0.1","2000","2136","0.19438860239489553","0.759655818741563","0.009828200720605229","0.03612737814293623","0.9306419535584878","0.8450511728434301"
